date,code,open,close,high,low,vol,amount,open_yesterday,close_yesterday,avg_price,p_change,alpha1_001,alpha1_002,alpha1_003,alpha1_004,alpha1_005,alpha1_006,alpha1_007,alpha1_008,alpha1_009,alpha1_010,alpha1_011,alpha1_012,alpha1_013,alpha1_014,alpha1_015,alpha1_016,alpha1_017,alpha1_018,alpha1_019,alpha1_020,alpha1_021,alpha1_022,alpha1_023,alpha1_024,alpha1_025,alpha1_026,alpha1_027,alpha1_028,alpha1_029,alpha1_030,alpha1_031,alpha1_032,alpha1_033,alpha1_034,alpha1_035,alpha1_036,alpha1_037,alpha1_038,alpha1_039,alpha1_040,alpha1_041,alpha1_042,alpha1_043,alpha1_044,alpha1_045,alpha1_046,alpha1_047,alpha1_049,alpha1_050,alpha1_051,alpha1_052,alpha1_053,alpha1_054,alpha1_055,alpha1_057,alpha1_060,alpha1_061,alpha1_062,alpha1_064,alpha1_065,alpha1_066,alpha1_068,alpha1_071,alpha1_072,alpha1_073,alpha1_074,alpha1_075,alpha1_077,alpha1_078,alpha1_081,alpha1_083,alpha1_084,alpha1_085,alpha1_086,alpha1_088,alpha1_092,alpha1_094,alpha1_095,alpha1_096,alpha1_098,alpha1_099,alpha1_101
2017-01-03,600000,16.2100,16.3000,16.4400,16.1700,162371.0000,265043264.0000,16.0700,16.2100,16.3233,0.0056,0.8482,-0.2869,-0.6995,-8.0000,-0.2680,-0.6446,-1.0000,-0.8875,-0.0900,-0.0900,0.3617,-0.0900,-0.4882,-0.4274,-1.3810,-0.4260,-0.2970,-0.2742,-1.4880,-0.2800,1.0000,0.2667,0.0000,-0.5700,0.2337,-0.2417,1.0000,-0.0001,2.4335,0.0553,2.1451,0.0035,0.3239,0.5351,2688.0000,1.4941,0.7969,-0.3758,-1.1252,-0.1559,-0.0189,0.8821,17.0000,-0.4855,-0.0515,-0.0900,0.0928,-0.0900,-0.6197,-0.0900,0.0552,-0.6731,-0.4683,-0.6431,0.0439,-0.0003,True,-1,-1,0,-4.4590,0,3.0000,1.3175,-3.0000,-1,False,0.3060,0.2699,-1,0.0363,1.1220,0.4480,0,0.6384,1.0000,-0.4873,True,-8.0000,0.6130,-1,0.3321
2017-01-04,600000,16.2900,16.3300,16.3500,16.1800,296587.0000,482612224.0000,16.2100,16.3000,16.2722,0.0018,0.8482,-0.2076,-0.2787,-9.0000,-0.5335,-0.3234,-21.0000,-0.8955,-0.0300,-0.0300,0.4893,-0.0300,-0.7446,-0.1827,-1.6278,-0.6683,-0.3307,-0.2461,-1.4899,-0.0838,-1.0000,-0.3109,0.0000,-0.5900,0.4291,-0.6988,1.0000,-0.0003,1.3453,0.0123,2.0442,0.0035,0.4082,0.5474,3094.0000,2.3192,0.8905,-0.4660,-1.1044,-0.0321,-0.0074,0.3223,19.0000,-0.5617,-0.1297,-0.0300,-0.3434,-0.0300,-0.6935,-0.0300,0.0555,-0.5810,-0.8716,-0.8169,-0.1134,-0.0003,True,0,-1,0,-1.5636,0,7.0000,0.9342,-1.0000,-1,False,0.2721,0.3071,-1,-0.3811,1.5488,0.3614,0,0.6251,1.0000,-0.0802,True,-8.0000,0.3179,-1,0.2339
2017-01-05,600000,16.3000,16.3000,16.3800,16.2400,264376.0000,431449120.0000,16.2900,16.3300,16.3195,-0.0018,0.6030,0.0957,-0.4863,-9.0000,-0.2857,-0.5057,-8.0000,-0.8927,0.0300,0.0300,0.5970,-0.0300,-0.7575,-0.1560,-1.3302,-0.7051,-0.2138,-0.2414,-1.4091,-0.1187,-1.0000,-0.6707,0.0000,-0.5100,0.5789,-0.8242,1.0000,-0.0002,4.2780,0.0772,2.1128,0.0034,0.4918,0.6509,2093.0000,3.2970,0.9933,-0.4002,-0.8283,-0.0497,-0.0097,0.8505,54.0000,-0.6093,-0.1353,0.0300,-0.0448,0.0300,-0.7603,0.0300,0.0443,-1.4667,-0.4286,-0.8546,0.0399,0.0000,True,-1,-1,0,-7.6567,0,8.0000,0.7551,-2.0000,-1,False,0.1371,0.2554,-1,0.3351,1.7660,0.4459,0,0.6841,1.0000,-0.1136,True,-8.0000,0.0712,-1,0.0000
2017-01-06,600000,16.3000,16.1800,16.3000,16.1300,171955.0000,278864544.0000,16.3000,16.3000,16.2173,-0.0074,0.4222,-0.4206,-0.7048,-5.5000,-0.2270,-0.6696,-1.0000,-0.8147,0.1200,0.1200,0.4826,-0.1200,-0.6415,-0.1869,-1.1205,-0.5400,-0.0482,-0.1636,-1.4439,-0.1171,1.0000,-0.3434,0.0000,-0.3500,0.7092,-0.8771,1.0000,-0.0001,3.2780,0.1866,0.3248,0.0034,0.7126,0.7840,360.0000,3.4316,1.2695,-0.2412,-0.8201,-0.0540,-0.0025,0.9851,56.0000,-0.4246,-0.1250,0.1200,0.0306,0.1200,-0.7603,0.1200,-0.0812,2.1500,-0.3052,-0.8398,0.0799,0.0000,True,-1,0,0,-6.6777,0,10.0000,0.6528,-4.0000,-1,True,0.1854,0.2857,-1,0.1225,1.3470,0.6449,0,0.7638,1.0000,-0.3793,True,-7.0000,-0.0530,-1,-0.7018
2017-01-09,600000,16.2400,16.2000,16.2900,16.1300,149087.0000,241579600.0000,16.3000,16.1800,16.2039,0.0012,0.2476,-0.5157,-0.6758,-5.0000,-0.3457,-0.6443,-1.0000,-0.7580,-0.0200,-0.0200,0.2198,0.0200,-0.6316,-0.3122,-1.6399,-0.3593,-0.0404,-0.1966,-1.4744,-0.2919,1.0000,-0.2247,0.0000,-0.1300,0.3755,-0.9456,1.0000,0.0000,3.2780,0.1988,0.2712,0.0034,0.5704,0.2422,1140.0000,2.9798,1.2746,-0.2389,-0.9822,-0.0448,0.0059,0.7253,32.5000,-0.1878,0.7049,-0.0200,-0.1375,-0.0200,-0.7603,-0.0200,-0.0749,1.1607,-0.4429,-0.7314,0.0089,-0.0001,True,-1,0,0,-5.6170,0,10.0000,0.6018,-8.0000,-1,False,0.3594,0.3745,-1,0.0054,0.9721,0.6449,0,0.7754,1.0000,-0.3602,True,-8.0000,0.0058,-1,-0.2484
2017-01-10,600000,16.1800,16.1900,16.2400,16.1400,79967.0000,129458360.0000,16.2400,16.2000,16.1890,-0.0006,0.0803,-0.6500,-0.6812,-6.0000,-0.3649,-0.6236,-1.0000,-0.6023,0.0100,0.0100,0.1783,-0.0100,-0.7366,-0.3289,-2.5257,-0.6667,-0.0264,-0.3052,-1.4291,-0.0559,1.0000,-0.2267,0.0000,-0.1200,0.5233,-0.9584,1.0000,0.0001,1.2780,0.2061,0.2087,0.0034,0.4711,0.7185,30.0000,2.2955,1.0932,-0.2158,-1.0054,-0.0494,0.0009,0.6803,4.0000,-0.9565,-0.6700,0.0100,-0.2454,0.0100,-0.9259,0.0100,-0.0731,-17.0000,-0.4985,-0.5544,-0.0024,-0.0002,True,0,0,-1,-7.5670,0,8.0000,0.5099,-7.0000,-1,False,0.6130,0.4899,-1,-0.0037,0.7276,0.6247,0,0.8035,1.0000,-0.0413,True,-8.0000,-0.0544,-1,0.0990
2017-01-11,600000,16.2400,16.1600,16.2400,16.1500,91933.0000,148793824.0000,16.1800,16.1900,16.1850,-0.0019,0.4222,-0.6410,-0.6881,-6.0000,-0.2628,-0.6152,-1.0000,-0.4739,0.0300,0.0300,0.2846,0.0300,-0.6516,-0.3767,-2.7256,-0.6536,-0.0507,-0.2535,1.3663,-0.3239,1.0000,-0.1710,0.0000,-0.0900,0.5699,-0.9584,1.0000,0.0001,2.2780,0.1656,0.0446,0.0034,0.6408,0.8188,58.5000,2.4939,1.3359,-0.2121,-0.6166,-0.0576,0.0099,0.9071,56.0000,-0.9955,0.6464,0.0300,-0.1471,0.0300,-0.9829,0.0300,-0.1441,6.3333,-0.1139,-0.7405,0.0633,-0.0001,True,0,0,-1,-5.4953,0,8.0000,0.4019,-6.0000,-1,False,0.6741,0.4571,-1,0.0836,0.6118,0.6088,0,0.8758,3.0000,-0.1154,True,-8.0000,-0.1090,-1,-0.8791
2017-01-12,600000,16.1800,16.1200,16.2000,16.1100,82961.0000,134057680.0000,16.2400,16.1600,16.1591,-0.0025,0.2476,-0.3067,-0.7097,-2.0000,-0.2177,-0.6216,-1.0000,-0.5279,0.0400,0.0400,0.3391,-0.0400,-0.4205,-0.2611,-2.1737,-0.4769,-0.0390,-0.2304,1.4375,-0.1113,1.0000,-0.0560,0.0000,-0.0500,0.5843,-0.9584,1.0000,0.0000,3.3074,0.1778,0.0882,0.0034,0.6063,0.8863,-0.0000,2.5491,1.3657,-0.1454,-0.4396,-0.0599,-0.0042,1.0050,56.0000,-0.9152,-0.6483,0.0400,-0.0976,0.0400,-0.9829,0.0400,-0.1243,7.0000,-0.1132,-0.7622,0.1058,-0.0001,True,0,0,-1,-3.4574,0,11.0000,0.4152,-6.0000,-1,False,0.6176,0.5179,-1,0.0167,0.5944,0.6033,0,0.9020,6.0000,-0.3069,True,-8.0000,-0.0758,-1,-0.6593
2017-01-13,600000,16.1000,16.2700,16.2900,16.1000,190341.0000,308468960.0000,16.1800,16.1200,16.2061,0.0093,0.8482,-0.7135,-0.5639,-1.0000,-0.5376,-0.4806,10.0000,-0.6354,-0.1500,-0.1500,0.6330,-0.1500,-0.5831,-0.3273,-2.1157,-0.4818,-0.4180,-0.1632,1.4466,-0.0184,-1.0000,-0.0476,0.0000,-0.2000,0.3550,-0.9679,1.0000,0.0001,5.4212,0.1394,-0.1642,0.0034,0.2264,0.0524,7656.0000,1.6631,0.9326,-0.1841,-0.6400,-0.0368,-0.0114,0.2993,126.0000,-0.8577,-0.1635,-0.1500,-0.3666,-0.1500,-0.9829,-0.1500,-0.1392,0.0000,-0.8490,-0.7503,-0.1867,-0.0005,True,-1,0,0,-3.4513,0,8.0000,0.4964,-8.0000,-1,False,0.5205,0.5963,-1,-0.0127,1.3152,0.5872,0,0.8321,7.0000,-0.3624,True,-7.0000,-0.1474,0,0.8901
2017-01-16,600000,16.2300,16.5600,16.6000,16.1000,533047.0000,876414528.0000,16.1000,16.2700,16.4416,0.0178,0.8482,-0.8250,-0.3124,-1.5000,-0.5985,-0.2658,-38.0000,-0.7044,-0.2900,-0.2900,0.5703,-0.2900,-0.9654,-0.2148,-2.1058,-0.9545,-0.5804,-0.2654,-1.5057,-0.0981,-1.0000,-0.0642,-0.4000,-0.4900,0.2420,-0.9780,1.0000,0.0000,5.2774,0.0876,-0.4485,0.0034,0.1163,0.2390,14880.0000,1.9342,0.8437,-0.4275,-0.9653,-0.1698,-0.0935,0.1718,20.0000,-0.9813,-0.2078,-0.2900,0.0910,-0.2900,-0.9851,-0.2900,0.0653,-0.9900,-0.8319,-0.9684,-0.3784,-0.0004,False,-1,-1,0,-7.5485,0,8.0000,0.5482,-8.0000,-1,False,0.2362,0.5940,-1,-0.0169,2.9923,0.6274,0,0.3713,7.0000,-0.1929,True,-8.0000,-0.3154,0,0.6587
