date,code,open,close,high,low,vol,amount,open_yesterday,close_yesterday,avg_price,p_change,alpha001,alpha002,alpha003,alpha004,alpha005,alpha006,alpha007,alpha008,alpha009,alpha010,alpha011,alpha012,alpha013,alpha014,alpha015,alpha016,alpha017,alpha018,alpha019,alpha020,alpha021,alpha022,alpha023,alpha024,alpha025,alpha026,alpha027,alpha028,alpha029,alpha031,alpha032,alpha033,alpha034,alpha035,alpha036,alpha037,alpha038,alpha039,alpha040,alpha041,alpha042,alpha043,alpha044,alpha045,alpha046,alpha047,alpha048,alpha049,alpha050,alpha051,alpha052,alpha053,alpha054,alpha055,alpha056,alpha057,alpha058,alpha059,alpha060,alpha061,alpha062,alpha063,alpha064,alpha065,alpha066,alpha067,alpha068,alpha069,alpha070,alpha071,alpha072,alpha073,alpha074,alpha076,alpha077,alpha078,alpha079,alpha080,alpha081,alpha082,alpha083,alpha084,alpha085,alpha086,alpha087,alpha088,alpha089,alpha090,alpha091,alpha092,alpha093,alpha094,alpha095,alpha096,alpha097,alpha098,alpha099,alpha100,alpha101,alpha102,alpha103,alpha104,alpha105,alpha106,alpha107,alpha108,alpha109,alpha110,alpha111,alpha112,alpha113,alpha114,alpha115,alpha116,alpha117,alpha118,alpha119,alpha120,alpha121,alpha122,alpha123,alpha124,alpha125,alpha126,alpha128,alpha129,alpha130,alpha131,alpha132,alpha133,alpha134,alpha135,alpha136,alpha137,alpha138,alpha139,alpha140,alpha141,alpha142,alpha144,alpha145,alpha147,alpha148,alpha150,alpha151,alpha152,alpha153,alpha154,alpha155,alpha156,alpha157,alpha158,alpha159,alpha160,alpha161,alpha162,alpha163,alpha164,alpha167,alpha168,alpha169,alpha170,alpha171,alpha172,alpha173,alpha174,alpha175,alpha176,alpha177,alpha178,alpha179,alpha180,alpha182,alpha184,alpha185,alpha186,alpha187,alpha188,alpha189,alpha191
2017-01-03,601229,23.3300,23.5900,23.7800,23.3100,206449.0000,487160256.0000,23.2500,23.2800,23.5971,0.0133,-0.5531,-0.5248,0.4400,-1.0000,-0.9682,-0.2548,1.2796,0.2678,23.4979,3.0000,-126992.6926,-0.0211,-0.0533,-0.0100,0.0021,-0.9152,1.0204,0.9996,-0.0004,0.2124,-9.3268,-23.8941,36.1892,-0.5112,,,-23.1043,32.0226,438.5068,-0.3134,-1.9760,,1.0031,-0.0867,0.7442,5.3756,0.0000,,48.2401,-0.5005,-0.7155,408895.0000,16.0000,,1.0071,36.4112,-0.1383,0.6601,-0.3202,0.3399,41.3545,41.6667,-0.6621,-58.9335,False,21.1851,40.0000,-2.1700,-1047051.1444,,-0.9155,44.9909,,0.9911,0.8982,82.0556,-0.0000,-0.4444,95091400.4354,-4.1739,69.0794,,,0.4426,,-9.9579,59.0157,4.4714,243582.8037,65.1309,-0.6214,-969926.0000,,-0.3100,-6.1589,-8.5659,-0.0838,-0.9152,,,3.7800,-4847645.0000,299993806.4649,18.9953,57720.5210,-0.4000,-0.5906,111369.3557,0,52.0898,70.0000,-0.2117,-0.5342,-2.2100,-0.3653,,0.8397,63.5231,-30696.4397,-32.3194,-0.3534,0.0550,,-5.3071,1305.0000,94.8052,,0.6006,,-0.0016,0,-0.0071,,23.5600,-219.3426,-1.7400,,,614373978.4000,-60.0000,-7180.1002,0.9165,-0.4738,1.1600,,-0.5182,,-0.5873,-0.4331,0.0000,-56.6768,-5.9017,0,4863938.4400,-2.2556,,23.7579,False,-11552.8822,-0.4316,4.5985,-0.1061,-6276.8825,0.4016,0.3867,-1.0000,0.0283,0.1508,0.8900,-0.8307,-0.5073,-0.7842,-1.3942,59.0106,25.6672,0.2278,0.3417,0.7759,10.0000,2749.1061,,-206449.0000,0.5000,,0.2639,57.5413,3.5400,26.9789,0.2722,0.0976
2017-01-04,601229,23.5900,23.7200,23.8000,23.5500,177302.0000,420003584.0000,23.3300,23.5900,23.6886,0.0055,-0.5316,-0.1685,0.1000,-1.0000,-0.9682,-0.7558,0.4706,0.0751,23.5485,3.0000,-225488.9369,-0.2796,-0.0139,0.3400,0.0000,-0.9152,0.5221,1.0145,0.0143,0.5085,-10.3701,-23.7551,40.9315,-0.3410,,,-15.8144,58.1592,901.5356,0.4446,-2.5038,,0.9956,-0.2415,0.8369,2.8595,0.0000,,57.3024,-0.5005,-0.7130,388584.0000,16.0000,,1.0019,29.9154,-0.1498,0.6027,-0.2055,0.3973,40.8230,50.0000,-0.6611,-58.5504,False,33.9347,40.0000,-2.1700,-951361.7834,,-0.9376,50.9546,,0.9865,1.3675,82.1699,-0.0000,-0.4668,87439634.1655,-3.2396,65.2946,-4.8621,,0.4089,,5.1486,60.1992,37.6590,237270.3462,62.4897,-0.7004,-1041137.0000,,-0.1300,-7.4050,-8.3108,0.0110,-0.8863,,,3.7800,-3754665.0000,302993441.5100,28.5236,57626.9326,-0.4800,-0.6965,112502.4906,0,47.5356,65.0000,-0.1230,-0.5268,-2.1500,-0.1251,,0.8230,62.7698,-48713.8861,-22.4335,0.0200,-0.0332,,-5.3892,672.0000,92.6087,,0.2825,,-0.0016,0,0.0315,,23.6900,-125.3634,-1.6100,,,603157488.8000,-60.0000,-4303.0926,0.9163,-0.3078,0.6300,,-0.5171,,-0.4353,-0.0889,0.0000,-59.6311,-6.2374,0,4200284.3800,-2.2504,,23.7648,False,-7053.8446,-0.7324,2.1694,-0.0719,-6889.8712,0.3815,0.3850,-1.0000,0.1173,0.1276,1.0200,-0.7238,-0.4810,-0.7924,-2.0674,54.9801,25.8407,0.2644,0.2900,0.8228,5.0000,977.0776,,-177302.0000,0.5500,,0.5768,54.2173,3.4100,-28.2221,0.2872,-0.8170
2017-01-05,601229,23.7400,23.5000,23.7600,23.4700,179996.0000,424105632.0000,23.5900,23.7200,23.5619,-0.0093,-0.3276,1.1531,0.0600,-1.0000,-0.9682,-0.7558,0.9310,0.1561,23.5675,1.0000,-274573.1125,-0.6275,0.0526,0.3100,0.0008,-0.9152,0.5607,1.0134,0.0132,0.5133,-12.2709,-23.6319,38.1988,-0.2108,,,-10.5518,59.1228,923.8460,-0.3815,-1.9163,,1.0038,-0.4732,0.9344,0.5828,0.0000,,64.8191,-0.5005,-0.5235,337386.0000,16.0000,,1.0108,28.4433,-0.1197,0.5566,-0.1131,0.4434,45.2815,50.0000,-0.3584,-65.0820,False,37.8083,35.0000,-2.7900,-1287043.0737,,-0.9276,41.7605,,0.9966,0.3416,81.2558,-0.0000,-0.4914,87997145.7320,-3.6787,64.0186,-4.9216,,0.4098,,-2.5551,57.1524,43.4757,231815.6465,61.6729,-0.6705,-1436756.0000,,0.2200,-7.6686,-9.5806,0.0544,-0.8613,,,3.7800,-2921833.0000,305500650.6856,30.5710,35029.3651,-0.2200,-0.6339,113271.0446,0,48.0395,60.0000,-0.2513,-0.4255,-2.4900,-0.3788,,0.8327,60.8618,14075.2018,-12.8205,0.0161,1.3704,,-5.6581,252.0000,86.1996,,0.9434,,-0.0015,0,-0.0623,,23.5767,-116.7948,-1.3200,,,596549855.2000,-60.0000,-2268.8571,0.9164,-0.1041,1.2100,,-0.4466,,-0.3098,-0.0262,0.0000,-50.7336,-6.6498,0,4243705.6933,-2.2623,-0.0185,23.7527,False,-3220.7875,-0.8647,4.1694,-0.0591,-6912.7271,0.4063,0.3625,-1.0000,0.9238,0.1080,1.0200,-0.7402,-0.4536,-0.7800,-0.1214,50.8595,25.8985,0.2512,0.2967,0.8186,0.0000,-1669.4401,,-179996.0000,0.5500,,0.2985,50.9847,3.3200,-14.1242,0.2372,-0.6539
2017-01-06,601229,23.4500,23.1600,23.5600,23.1200,209388.0000,487582624.0000,23.7400,23.5000,23.2861,-0.0145,-0.1333,0.0251,-0.0800,-1.0000,-0.9411,-0.7558,0.7862,0.4827,23.5025,1.5000,-353890.9670,-0.5078,0.0529,-0.0800,-0.0021,-0.9152,1.1792,0.9966,-0.0034,-0.1294,-11.9648,-23.5460,36.0561,-0.1846,,,-9.8326,30.2797,-270.8771,-1.6003,-1.0606,,1.0163,-0.2444,0.7201,1.6710,0.0000,,67.9444,-0.5005,-0.4486,253452.0000,15.0000,,1.0223,32.9082,-0.0605,0.5552,-0.1104,0.4448,46.5932,50.0000,-0.5488,-79.6438,False,28.4919,30.0000,-3.5100,-1535103.8556,,-0.6699,31.2899,,1.0110,-1.0890,79.8237,-0.0000,-0.5978,89019861.7935,-4.6521,66.0252,-4.6379,,0.3916,,-32.9389,52.6590,40.3904,229679.6802,63.2952,-0.5578,-2115131.0000,,0.3400,-7.7219,-11.7714,0.0478,-0.4422,,,4.1100,-2140171.0000,266889998.4478,22.6568,37644.4268,0.4300,-0.3709,100148.2929,0,53.8432,55.0000,0.1344,-0.4111,-3.0900,-0.0018,,0.9092,50.2547,47569.9941,-23.8806,0.3566,0.7866,,-6.6232,252.0000,73.5471,,1.0737,,-0.0015,0,-0.1269,,23.2800,-112.2809,-1.6600,,,559318720.8000,-55.0000,-5630.6017,0.9158,-0.0238,2.8576,,-0.4257,,-0.1892,-0.0193,0.0000,-46.0732,-7.2139,0,4874552.6400,-2.3037,-0.0181,23.6754,False,1705.0554,-0.6957,2.2095,-0.1577,-6601.8283,0.4231,0.3758,-1.0000,0.9629,0.0914,1.0200,-0.9096,-0.4257,-0.3778,-0.1064,44.2761,25.8172,0.2386,0.3200,0.2835,0.0000,-3029.4434,,-209388.0000,0.5500,,0.2188,48.4416,2.7700,23.4922,0.2017,0.6090
2017-01-09,601229,23.1200,23.2400,23.3000,23.0800,121813.0000,282702144.0000,23.4500,23.1600,23.2079,0.0035,0.0862,-1.2727,0.0300,-1.0000,-0.8847,-0.2548,0.4291,0.8767,23.4132,2.0000,-191987.8501,-0.0746,-0.0181,-0.0400,-0.0017,-0.9152,1.0770,0.9983,-0.0017,0.0000,83.2393,-23.4777,38.6778,-0.1557,,,-9.6341,24.8073,0.0000,-0.9131,-0.7875,,1.0092,-0.1198,0.5734,3.3207,0.0000,,63.3785,-0.5005,-0.4195,226118.0000,13.0000,,1.0150,34.7558,-0.0659,0.6854,-0.3709,0.3146,43.7222,50.0000,-0.5625,-82.7093,False,26.4020,35.0000,-3.1000,-1441223.0058,,-0.6955,35.8326,,1.0075,-0.7474,79.9106,-0.0000,-0.6450,100436780.4662,-3.9008,66.8087,-3.3284,,0.3601,,-34.9105,53.5954,10.8015,219406.6630,64.0193,-0.6002,-1550438.0000,,-0.0800,-7.5484,-11.2977,0.0637,-0.5405,,,4.1500,-2514172.0000,232286830.3941,20.8801,37942.0199,0.4800,-0.3960,89422.0797,0,38.4771,95.0000,0.1217,-0.3822,-2.9600,-0.0017,,0.8688,50.7881,-15179.8176,-42.4893,0.3540,-0.1883,,-9.5676,48.0000,72.8953,,0.2835,,-0.0014,0,0.0324,,23.2067,-93.1236,-1.6600,,,515244893.6000,-95.0000,-4977.0891,0.9141,-0.1846,0.2632,,-0.4085,,-0.2863,-0.0422,0.0000,-51.4351,-8.1087,0,2826873.6867,-2.3365,-0.0175,23.5881,False,-410.8323,-0.8622,2.6404,-0.3517,-6921.7678,0.4020,0.3392,-1.0000,0.2063,0.0808,0.6700,-0.5688,-0.3979,-0.3783,-2.5985,36.1157,25.8040,0.2535,0.3083,0.2730,0.0000,420.7703,,-121813.0000,0.5500,,0.6142,46.5826,2.3100,-33.6383,0.1886,0.7539
2017-01-10,601229,23.2300,22.9800,23.2300,22.9600,172796.0000,398376704.0000,23.1200,23.2400,23.0547,-0.0112,0.2271,1.3064,-0.2800,-1.0000,-0.6124,-0.2548,0.7051,0.9422,23.3223,2.5000,-302538.4427,-0.2145,0.0399,-0.6100,-0.0004,-0.8863,3.4499,0.9741,-0.0259,-1.2887,-7.0826,-23.3976,37.2097,-0.2466,,,-10.8807,6.6558,-2226.7526,-1.6618,-0.9587,,1.0169,-0.1977,0.5782,0.8708,0.0000,,67.1919,-0.5005,-0.3600,-56616.0000,14.0000,,1.0218,38.7204,-0.0687,0.6678,-0.3357,0.3322,45.8368,50.0000,-0.4814,-60.6621,False,18.3950,35.0000,-2.0000,-1108329.7854,,-0.4894,28.4873,,1.0168,-1.6478,78.7598,-0.0000,-0.5502,75293967.4037,-4.5004,68.8627,-1.0377,,0.3493,,-46.6243,50.0829,-16.3009,214967.5523,65.6993,-0.5183,-1221486.0000,95.0000,0.2600,-7.2568,-8.0064,0.0493,-0.4191,,,3.0200,-2198002.0000,147459522.5486,14.6644,36013.9749,0.5200,-0.3015,58723.2687,0,48.7040,95.0000,0.3608,-0.3650,-2.0000,-0.2241,,0.8673,58.2278,24982.6504,-43.4599,0.3702,1.5336,0.6537,-10.4656,-0.0000,82.0449,,1.0022,,-0.0014,0,-0.0770,,23.0567,-90.5499,-1.7000,,,471102295.2000,-95.0000,-7412.7397,0.9127,-0.1724,1.4112,,-0.3791,,-0.3853,-0.0050,0.0000,-43.4685,-9.5281,0,3984099.7733,-2.3197,-0.0167,23.4807,False,2013.9622,-0.8536,3.6404,-0.3272,-6716.8151,0.4065,0.3342,-1.0000,0.9159,0.0684,0.6700,-0.8740,-0.3709,0.0013,-0.0844,29.5968,25.7009,0.2409,0.3300,0.1049,0.0000,-1933.1738,,-172796.0000,0.5000,,0.2697,45.2312,2.5800,-15.7123,0.2375,1.0369
2017-01-11,601229,22.9100,22.5400,22.9400,22.4500,257520.0000,584142784.0000,23.2300,22.9800,22.6834,-0.0191,0.8876,-0.2192,-1.0300,1.0000,-0.6124,-0.2548,1.0592,0.9653,23.1430,3.0000,-504992.0463,-0.1005,0.0103,-1.1800,-0.0030,-0.8613,18.1829,0.9503,-0.0497,-4.4510,-15.2495,-23.2968,35.7160,-0.4333,,,-15.5653,1.4469,-11462.3145,-3.1995,-0.9635,,1.0331,-0.1061,0.2181,2.0299,0.0000,,56.7615,-0.5005,0.0844,-520585.0000,13.0000,,1.0350,41.7569,-0.0762,0.6844,-0.3688,0.3156,44.8929,50.0000,-0.4834,-53.0379,False,14.4856,35.0000,-2.0100,-1181134.7361,,0.3220,20.1141,,1.0288,-2.8029,76.8066,-0.0000,-0.5287,99859343.0740,-5.7659,70.4941,-0.0188,,0.3783,,-95.9332,44.6772,45.2437,219020.1663,67.0810,-0.0462,-1161229.0000,140.0000,0.4400,-6.1027,-8.1874,-0.0063,-0.0925,,,2.8200,-1746802.0000,131353670.3659,12.6414,45994.8862,0.6200,-0.0395,53557.2887,0,61.4747,95.0000,1.0749,0.1665,-2.0100,-0.0006,,0.9715,60.0000,44144.7630,-42.7350,0.3864,0.7459,0.7860,-9.9859,-0.0000,86.8766,,1.1233,,-0.0014,0,-0.1495,,22.6433,-250.5979,-1.6700,,,461249751.2000,-95.0000,-10939.6771,0.9131,0.0466,5.1940,,0.1261,,-0.5049,-0.0142,0.0000,-34.2809,-11.4286,0,5831111.2000,-2.3042,-0.0156,23.3285,False,9306.3382,-0.9104,1.9421,-0.4610,-6599.0608,0.4119,0.3383,-1.0000,0.9736,0.0579,0.6700,-1.3227,-0.3449,0.1492,-0.2441,35.0698,25.4550,0.2288,0.3350,-0.2749,0.0000,-4930.7572,,,0.5500,,0.1257,47.0402,2.5800,39.5295,0.3108,1.0270
2017-01-12,601229,22.4800,22.2900,22.6100,22.2800,158480.0000,356016992.0000,22.9100,22.5400,22.4645,-0.0111,0.7321,0.3067,-1.5200,1.0000,-0.6001,-0.2548,1.3168,0.9624,22.9436,3.0000,-717695.9178,-0.0455,-0.0201,-1.2100,-0.0027,-0.5405,22.3040,0.9485,-0.0515,-6.0287,-8.6047,-23.2112,34.1853,-0.5886,,,-23.0423,-4.9618,-9554.2327,-3.8222,-0.7702,,1.0397,-0.0652,0.1081,5.1225,0.0000,,48.3897,-0.5005,-0.0004,-856367.0000,10.0000,,1.0373,44.1993,-0.0150,0.6724,-0.3448,0.3276,38.7352,41.6667,-0.4922,-57.5510,False,9.8763,35.0000,-2.0100,-1198480.2876,,0.0070,16.7561,,1.0297,-2.8829,75.6936,-0.0000,-0.5450,104796339.2686,-6.1638,72.4161,-0.0109,,0.3392,,-116.1522,41.8756,-11.9536,213254.4362,68.6932,-0.1272,-1100493.0000,128.0000,0.2500,-1.0610,-9.1317,-0.0607,-0.2033,,,2.9700,-1510498.0000,132001551.0824,8.7043,43479.6349,0.9500,-0.0607,53814.9817,0,45.5626,95.0000,0.8089,-0.0030,-2.2400,-0.0022,,0.9684,53.1513,43501.5737,-51.7787,-0.3843,1.0924,0.8606,-9.3812,-0.0000,78.0303,,1.1550,,-0.0014,0,-0.1821,,22.3933,-245.3099,-1.9200,,,452068258.4000,-95.0000,-8796.9831,0.9133,-0.0064,1.6120,,-0.0372,,-0.6696,-0.0248,0.0000,-32.2488,-13.1643,0,3548895.4667,-2.3010,-0.0144,23.1212,False,7518.7414,-0.9509,2.9764,-0.6358,-6571.4304,0.4185,0.3192,-1.0000,0.9306,0.0490,0.6100,-0.8269,-0.3198,0.0835,-0.0326,41.0702,25.1807,0.2174,0.3483,-0.1649,0.0000,-1757.7640,,-158480.0000,0.5500,,0.3868,48.0252,2.5800,-4.9893,0.3678,0.9556
2017-01-13,601229,22.2500,22.0400,22.3000,21.9000,230619.0000,509384096.0000,22.4800,22.2900,22.0877,-0.0112,0.7222,-0.6394,-1.5200,1.0000,,-0.2548,1.4586,0.9740,22.7025,3.0000,-644126.1695,-0.0266,0.0114,-1.1200,-0.0018,-0.5405,18.2206,0.9516,-0.0484,-6.2128,-6.0814,-23.1110,32.5990,-0.6949,,,-30.3230,-1.9663,-14327.8187,-4.4405,-0.7269,,1.0465,-0.0584,0.1313,3.7618,0.0000,,40.7330,-0.5005,0.2108,-906990.0000,3.0000,,1.0395,45.6471,-0.0154,0.7715,-0.5430,0.2285,36.2553,41.6667,-0.5098,-64.3572,False,9.0404,35.0000,-2.0800,-1212666.0843,,0.5247,13.9595,,1.0303,-2.9431,74.5661,-0.0000,-0.5661,110728942.1337,-6.5343,73.6928,-0.0337,,0.3107,,-137.1197,39.1944,10.1395,214908.2042,69.8368,-0.0231,-1087541.0000,152.0000,0.2500,-1.0397,-9.8200,-0.1112,-0.0771,,,3.1800,-2038498.0000,128410935.1288,9.0515,45816.6417,0.9400,-0.0279,53232.1583,0,55.6063,95.0000,1.0138,0.2418,-2.4000,-0.0012,,0.9993,49.3927,13928.0276,-52.3438,0.3756,1.1817,0.8980,-8.6494,-0.0000,71.2230,,0.9670,,-0.0014,0,-0.0499,,22.0800,-247.1397,-1.9500,,,447744308.0000,-95.0000,-13217.6843,0.9131,0.1088,2.7612,,0.2206,,-0.9255,-0.0312,0.0000,-23.3479,-13.4545,0,5092067.5200,-2.3060,-0.0130,22.9108,False,11040.8095,-0.9566,5.9749,-0.7688,-6297.7818,0.4270,0.3317,-1.0000,0.9120,0.0414,0.6100,-1.2074,-0.2958,0.1364,-0.5646,47.3242,24.8866,0.2065,0.3667,-0.1726,0.0000,-2586.5747,,,0.6000,,0.3330,49.0918,2.5800,12.0744,0.4658,0.8696
2017-01-16,601229,22.0500,22.4200,22.6400,21.8800,403416.0000,897626880.0000,22.2500,22.0400,22.2507,0.0172,0.1049,-0.7211,-0.5800,1.0000,,-0.2548,0.8953,0.9615,22.5761,3.0000,-302949.3466,-0.0352,0.0061,-0.8200,0.0005,-0.4191,7.7970,0.9647,-0.0353,-3.1952,-5.3569,-22.9807,35.7029,-0.7199,,,-30.5352,16.5462,-12889.8031,-2.5217,-0.9923,,1.0259,-0.0506,0.0647,1.2330,0.0000,,39.1987,-0.5005,0.3806,-294186.0000,2.0000,,1.0182,43.8355,-0.0967,0.6741,-0.3481,0.3259,34.9493,50.0000,-0.7783,-57.5314,False,15.4019,40.0000,-1.3700,-981245.8641,,0.2747,34.0396,,1.0074,-0.7306,75.1531,-0.0000,-0.5680,220644037.9935,-4.4908,72.9114,-0.0724,,0.3066,,-98.4995,45.0305,231.1765,232861.3276,69.4436,-0.0491,-446676.0000,120.0000,-0.3800,-3.0368,-7.7746,-0.0761,-0.1224,,,3.2000,-1244055.0000,161181894.8683,17.3009,77358.6249,0.1200,-0.0732,70867.5995,0,70.9907,95.0000,0.8012,0.5053,-1.8900,-0.0904,,1.1728,61.6016,-75496.2200,-28.0000,-0.3611,-2.0228,0.9304,-8.7291,2610.0000,82.1002,,0.0272,,-0.0014,0,0.1774,,22.3133,-80.5743,-1.7600,,,463724503.2000,-85.0000,-13395.0116,0.9125,0.5771,2.2800,,0.5931,,-0.7784,-0.2960,0.0000,-8.2951,-13.2958,0,9001555.6800,-2.2852,-0.0116,22.8273,False,24104.8341,-0.9412,5.9672,-0.3391,-5777.0241,0.4056,0.3700,-1.0000,0.0235,0.0351,0.9900,-2.0241,-0.2730,0.2186,-2.2586,48.1204,24.8402,0.2252,0.4200,0.4993,10.0000,6955.4483,,,0.5500,,0.1238,46.1983,2.5800,76.6638,0.4508,0.0851
