date,code,name,weight
2020-11-30,600000.sh,浦发银行,0.67
2020-11-30,600004.sh,白云机场,0.1
2020-11-30,600009.sh,上海机场,0.43
2020-11-30,600010.sh,包钢股份,0.16
2020-11-30,600011.sh,华能国际,0.13
2020-11-30,600015.sh,华夏银行,0.23
2020-11-30,600016.sh,民生银行,0.64
2020-11-30,600018.sh,上港集团,0.09
2020-11-30,600019.sh,宝钢股份,0.31
2020-11-30,600025.sh,华能水电,0.05
2020-11-30,600027.sh,华电国际,0.07
2020-11-30,600028.sh,中国石化,0.32
2020-11-30,600029.sh,南方航空,0.16
2020-11-30,600030.sh,中信证券,1.46
2020-11-30,600031.sh,三一重工,1.03
2020-11-30,600036.sh,招商银行,2.58
2020-11-30,600038.sh,中直股份,0.09
2020-11-30,600048.sh,保利地产,0.7
2020-11-30,600050.sh,中国联通,0.26
2020-11-30,600061.sh,国投资本,0.14
2020-11-30,600066.sh,宇通客车,0.13
2020-11-30,600068.sh,葛洲坝,0.11
2020-11-30,600085.sh,同仁堂,0.08
2020-11-30,600089.sh,特变电工,0.18
2020-11-30,600104.sh,上汽集团,0.53
2020-11-30,600109.sh,国金证券,0.25
2020-11-30,600111.sh,北方稀土,0.17
2020-11-30,600115.sh,东方航空,0.13
2020-11-30,600118.sh,中国卫星,0.11
2020-11-30,600170.sh,上海建工,0.08
2020-11-30,600176.sh,中国巨石,0.2
2020-11-30,600177.sh,雅戈尔,0.11
2020-11-30,600183.sh,生益科技,0.18
2020-11-30,600188.sh,兖州煤业,0.06
2020-11-30,600196.sh,复星医药,0.36
2020-11-30,600208.sh,新湖中宝,0.08
2020-11-30,600219.sh,南山铝业,0.12
2020-11-30,600221.sh,海航控股,0.1
2020-11-30,600233.sh,圆通速递,0.09
2020-11-30,600271.sh,航天信息,0.09
2020-11-30,600276.sh,恒瑞医药,1.81
2020-11-30,600297.sh,广汇汽车,0.08
2020-11-30,600299.sh,安迪苏,0.02
2020-11-30,600309.sh,万华化学,0.72
